gallery_number,gallery_name,department,floor,wing,latitude,longitude
242,South Asian Hindu-Buddhist and Jain Sculpture,Florence and Herbert Irving Galleries,2,,40.779867294,-73.962029001
243,South Asian Hindu-Buddhist and Jain Sculpture,Florence and Herbert Irving Galleries,2,,40.779913706,-73.961995156
244,Southeast Asian Art,Florence and Herbert Irving Galleries,2,,40.779996135,-73.962027516
245,Southeast Asian Art,Florence and Herbert Irving Galleries,2,,40.780049147,-73.961988858
246,Southeast Asian Art,Florence and Herbert Irving Galleries,2,,40.780109477,-73.961944863
247,Southeast Asian Art,Florence and Herbert Irving Galleries,2,,40.78003077,-73.961922535
248,Southeast Asian Art,Florence and Herbert Irving Galleries,2,,40.780137591,-73.96188656
249,Southeast Asian Art,Florence and Herbert Irving Galleries,2,,40.780199747,-73.961833947
250,Southeast Asian Art,Florence and Herbert Irving Galleries,2,,40.78027289,-73.961787896
251,"Household Gods: Hindu Devotional Prints, 1860–1930",,3,,40.779985176,-73.961997707
252,Arts of Tibet and Nepal,Florence and Herbert Irving Galleries,3,,40.780052854,-73.96190643
253,Arts of Tibet and Nepal,Florence and Herbert Irving Galleries,3,,40.780064764,-73.961979045
300,Byzantium (South Gallery),Mary and Michael Jaharis Galleries,1,,40.779280064,-73.963226794
301,Late Roman and Early Byzantine Secular Objects (North Gallery),Mary and Michael Jaharis Galleries,1,,40.779376002,-73.96315317
302,Afterlives: Contemporary Art in the Byzantine Crypt,,1,,40.779334878,-73.963206222
303,Middle and Late Byzantine Objects (Apse Gallery),Mary and Michael Jaharis Galleries,1,,40.779373624,-73.963298186
304,Medieval Europe Gallery,,1,,40.779419619,-73.963407344
305,Medieval Sculpture Hall,,1,,40.779571117,-73.963661323
306,Medieval Treasury,,1,,40.77978833,-73.963562985
307,Secular Works,The Lawrence A. and Barbara Fleischman Gallery of Late Medieval Secular Art,1,,40.779901945,-73.963480135
340,Arts of Africa,,1,,40.778501011,-73.963597001
341,Arts of Africa,,1,,40.77859152,-73.963814234
342,Arts of Africa,,1,,40.778525783,-73.963981607
343,Arts of Africa,,1,,40.778466194,-73.963905628
344,Arts of Africa,,1,,40.778341446,-73.963861066
345,Arts of Africa,,1,,40.778371198,-73.963935083
350,Arts of Oceania,,1,,40.778714775,-73.964121597
351,Arts of Oceania,,1,,40.778607705,-73.964161331
352,Arts of Oceania,,1,,40.778483431,-73.964092707
353,Arts of Oceania,,1,,40.778361349,-73.964021585
354,Arts of Oceania,,1,,40.778269019,-73.964150598
359,Iba Ndiaye: Between Latitude and Longitude,,1,,40.778638545,-73.964235084
360,Arts of the Ancient Americas,,1,,40.778307443,-73.964242499
361,Arts of the Ancient Americas,,1,,40.778417636,-73.964161074
362,Arts of the Ancient Americas,,1,,40.778492964,-73.964341237
363,Arts of the Ancient Americas,,1,,40.778572471,-73.964283262
370,Arms and Armor from the Stone Age to the Iron Age,Ronald S. Lauder Galleries of Arms and Armor,1,,40.779884175,-73.96318275
371,European Armor for Field and Tournament,Ronald S. Lauder Galleries of Arms and Armor,1,,40.78013537,-73.962957358
372,American Swords and Firearms,Robert M. Lee Gallery in the Ronald S. Lauder Galleries of Arms and Armor,1,,40.780193816,-73.962914445
373,"European Arms and Armor, Late Medieval to Renaissance",Bashford Dean Gallery in the Ronald S. Lauder Galleries of Arms and Armor,1,,40.779974001,-73.96325849
374,European Ceremonial Armor,Ronald S. Lauder Gallery in the Ronald S. Lauder Galleries of Arms and Armor,1,,40.780091466,-73.963172839
375,European Hunting and Sporting Weapons,Ronald S. Lauder Galleries of Arms and Armor,1,,40.780186634,-73.963103442
376,European Swords,Ronald S. Lauder Galleries of Arms and Armor,1,,40.780261745,-73.96304867
377,Japanese Arms and Armor,Ronald S. Lauder Galleries of Arms and Armor,1,,40.77988364,-73.963043827
378,Samurai Swords and Daggers,Ronald S. Lauder Galleries of Arms and Armor,1,,40.78000115,-73.962958138
379,Arms and Armor of Islamic Cultures,Ronald S. Lauder Galleries of Arms and Armor,1,,40.780096249,-73.962888788
380,Defensive Display: Shields from The Met Collection,,1,,40.780110037,-73.962717825
399,Gallery 399,,1,,40.778648873,-73.964377238
400,The Assyrian Empire and Its Sphere of Influence,,2,,40.778926033,-73.963179049
401,The Assyrian Royal Court ,,2,,40.778917307,-73.963052008
402,The Rise of Civilization: The Ancient Near East ca. 8000–3000 B.C.,,2,,40.778833605,-73.962959753
403,"Cities, States, and Early Empires: The Ancient Near East ca. 3000–1200 B.C.",,2,,40.778729882,-73.963058183
404,Kingdoms and Empires: The Ancient Near East ca. 2000 B.C.–A.D. 200,,2,,40.778615204,-73.963143542
405,From the Achaemenid to the Sasanian Empire: The Ancient Near East and Silk Road Contacts ca. 559 B.C.–A.D. 651,,2,,40.778501423,-73.96322651
406,The Interconnected World of the Ancient Near East,,2,,40.778818052,-73.963253355
450,Introductory Gallery,Patti Cadby Birch Gallery,2,,40.77833568,-73.96335756
451,"Arab Lands and Iran under the Umayyads and Abbasids, 661-1258",Qatar Gallery,2,,40.778386025,-73.963477043
452,Nishapur and the Sabz Pushan Room (9th–12th centuries),,2,,40.778426274,-73.963546176
453,Medieval Iran and Central Asia (9th–13th centuries),,2,,40.778339115,-73.963627994
454,Medieval Egypt and Syria (10th–16th centuries),,2,,40.778181071,-73.963722689
455,Iran and Central Asia in the Mongol Age (13th-16th Centuries),,2,,40.778079252,-73.963517397
456,Moroccan Court,Patti Cadby Birch Court,2,,40.778197014,-73.9634217
457,"Spain, North Africa, and the Western Mediterranean (8th–19th centuries)",Patti Cadby Birch Court and Gallery,2,,40.778257232,-73.963377791
458,The Hagop Kevorkian Fund Special Exhibitions Gallery,The Hagop Kevorkian Fund Special Exhibitions Gallery,2,,40.778094965,-73.96379353
459,The Greater Ottoman world,Koç Family Galleries,2,,40.778052809,-73.963702558
460,The Ottoman world,Koç Family Galleries,2,,40.778004851,-73.96358874
461,The Damascus Room (18th century) ,,2,,40.77794765,-73.963479525
462,Safavid and Later Iran (16th–20th centuries),The Sharmin and Bijan Mossavar-Rahmani Gallery,2,,40.778067297,-73.963392286
463,Mughal South Asia and Later South Asia,,2,,40.778230635,-73.963273183
464,Mughal South Asia and Later South Asia,,2,,40.778342527,-73.963163316
500,"Italian Sculpture and Decorative Arts, 1430–1500",,1,,40.779588494,-73.963331582
501,"The Studiolo from the Ducal Palace at Gubbio, 1478–82",,1,,40.779566597,-73.963279614
502,"French Church Decoration, 1530–1550",,1,,40.779631225,-73.963253378
503,Renaissance Masterpieces of Judaica: The Mishneh Torah and The Rothschild Mahzor,,1,,40.779828758,-73.963223162
504,Venetian Sculpture of the Renaissance,,1,,40.779711301,-73.963194986
505,The Swiss Room,,1,,40.779767167,-73.963170942
506,"Bedroom from the Sagredo Palace in Venice, ca. 1718",,1,,40.779853008,-73.963280724
507,"Bedroom from the Sagredo Palace in Venice, ca. 1718",,1,,40.779830129,-73.96334427
508,Before Yesterday We Could Fly: An Afrofuturist Period Room,,1,,40.779868644,-73.963386617
509,Gallery 509,Annie Laurie Aitken Galleries,1,,40.779832819,-73.963681144
510,"Tea, Trade and Empire",Annie Laurie Aitken Galleries,1,,40.779795302,-73.963823725
511,The Kirtlington Park Dining Room,Annie Laurie Aitken Galleries,1,,40.779832293,-73.963919979
512,Gallery 512,Annie Laurie Aitken Galleries,1,,40.779936398,-73.963734483
513,British Textiles ,Annie Laurie Aitken Galleries,1,,40.779882991,-73.963882973
514,The Croome Court Tapestry Room ,Annie Laurie Aitken Galleries,1,,40.779925453,-73.963852927
515,The Lansdowne Dining Room,Annie Laurie Aitken Galleries,1,,40.780032798,-73.963776209
516,Josephine Mercy Heathcote Gallery for 19th-Century British Art,Josephine Mercy Heathcote Gallery,1,,40.779951149,-73.963581497
520,Layered Narratives: The Northern Renaissance Gallery,,1,,40.779566754,-73.964029377
521,Making It Modern: European Ceramics from the Martin Eidelberg Collection,,1,,40.779682574,-73.964031422
522,"French Decorative Arts: Louis XV Room, ""The Morgan Alcove""",The Wrightsman Galleries,1,,40.779495592,-73.96405709
523,Eighteenth-Century French Decorative Arts: The Lauzun Room,The Wrightsman Galleries,1,,40.77953132,-73.964141882
524,"French Decorative Arts, 1715–89",The Wrightsman Galleries,1,,40.779392035,-73.964132603
525,French Decorative Arts: Varengeville Room,The Wrightsman Galleries,1,,40.779445472,-73.964204481
526,French Decorative Arts: Paar Room,The Wrightsman Galleries,1,,40.779336717,-73.964283782
